date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried
1999-04-14,GR,Susch,46.7225723266602,9.95849609375,3020.0,1,3,0
1999-04-14,GR,Scuol,46.6703262329102,10.386116027832,2760.0,0,1,0
1999-04-17,GR,Davos,46.8312683105469,9.81265354156494,2580.0,0,3,0
1999-04-19,VS,Nendaz,46.1574058532715,7.29650211334229,2380.0,0,1,0
1999-04-19,VS,Riddes,46.1074371337891,7.26417016983032,2540.0,0,2,0
1999-04-20,GR,Scuol,46.6951065063477,10.3306913375854,2750.0,1,2,1
1999-04-25,BE,Adelboden,46.4189414978027,7.55115032196045,2780.0,0,1,0
1999-06-25,BE,Grindelwald,46.558765411377,7.99809503555298,4020.0,0,1,0
1999-06-28,UR,Spiringen,46.8437461853027,8.86769390106201,3080.0,2,2,2
1999-07-03,BE,Guttannen,46.5819625854492,8.13115215301514,3880.0,1,1,0
1999-09-06,VS,Randa,46.0938606262207,7.85239410400391,4160.0,0,2,0
1999-09-23,VS,Saas-Fee,46.0488166809082,7.89262008666992,3720.0,0,3,0
1999-11-07,TI,Bedretto,46.5154762268066,8.46481323242188,2930.0,2,2,2
1999-11-27,GR,Stampa,46.4162788391113,9.67607116699219,2517.67,0,1,0
1999-11-27,VS,Albinen,46.375675201416,7.66842317581177,2750.0,0,2,0
1999-12-27,GR,Davos,46.7710037231445,9.84536266326904,2420.0,0,2,0
1999-12-27,GR,Tschiertschen,46.7992706298828,9.58551597595215,2300.0,1,1,1
1999-12-28,VS,Zermatt,46.0188217163086,7.77628993988037,2360.0,0,2,1
1999-12-29,GR,Safien,46.6037979125977,9.25298595428467,2300.0,0,10,4
1999-12-30,GR,Vaz/Obervaz,46.7558174133301,9.59196853637695,2350.0,0,1,0
1999-12-30,VS,Bourg-Saint-Pierre,45.8875961303711,7.1911244392395,2200.0,1,17,2
1999-12-30,GR,Davos,46.7485618591309,9.81254482269287,2200.0,0,1,0
1999-12-30,GR,Vaz/Obervaz,46.7480964660645,9.59584903717041,2520.0,0,1,0
1999-12-31,GR,Ardez,46.795726776123,10.1724624633789,2280.0,1,2,2
2000-01-01,GR,Davos,46.7309608459473,9.81517219543457,2460.0,0,1,0
2000-01-02,UR,Andermatt,46.6662788391113,8.6672945022583,2264.0,0,1,0
2000-01-04,GR,Celerina/Schlarigna,46.5322380065918,9.80487728118896,2900.0,0,1,0
2000-01-15,SG,Sevelen,47.112174987793,9.4162425994873,2110.0,0,1,0
2000-01-15,BE,St. Stephan,46.4981536865234,7.47641324996948,2260.0,0,1,0
2000-01-17,GL,Diesbach,46.9177055358887,9.09134292602539,2580.0,0,1,0
2000-01-23,VD,Château-d’Œx,46.4460601806641,7.14712810516357,1700.0,0,1,0
2000-01-24,GR,Langwies,46.8322448730469,9.80023860931396,2600.0,0,1,1
2000-01-24,GR,Arosa,46.7881889343262,9.6404275894165,2540.0,0,1,1
2000-01-24,BE,Lauterbrunnen,46.5818634033203,7.94484233856201,1800.0,0,1,0
2000-01-25,UR,Andermatt,46.6481056213379,8.6547966003418,2560.0,0,1,0
2000-01-27,UR,Andermatt,46.6094818115234,8.61450386047363,2680.0,0,1,0
2000-01-27,GR,Lantsch/Lenz,46.7336082458496,9.5910816192627,2540.0,0,1,0
2000-01-28,GR,Arosa / Wiesen,46.7509994506836,9.71517372131348,2650.0,0,3,0
2000-01-30,BE,Adelboden,46.4737510681152,7.52229356765747,1930.0,1,3,1
2000-01-31,UR,Andermatt,46.6083831787109,8.6164379119873,2770.0,0,1,0
2000-01-31,GR,La Punt,46.5774116516113,9.88372707366943,2510.0,0,2,1
2000-01-31,UR,Andermatt,46.6194076538086,8.61171627044678,2280.0,0,1,0
2000-01-31,GR,Davos,46.8372459411621,9.81947422027588,2490.0,0,1,1
2000-01-31,GR,Davos,46.7302131652832,9.81212902069092,2390.0,0,1,0
2000-02-01,GR,Langwies,46.8414115905762,9.79211616516113,2550.0,0,1,0
2000-02-01,GR,Fuldera,46.6086807250977,10.3239717483521,2500.0,0,1,0
2000-02-02,GR,Medel (Lucmagn),46.6388969421387,8.90930080413818,2410.0,0,1,0
2000-02-03,UR,Andermatt,46.6141967773438,8.5933256149292,2140.0,0,1,0
2000-02-05,VS,Finhaut,46.0675315856934,6.9430136680603,1940.0,2,3,2
2000-02-05,SG,Quarten,47.0335540771484,9.21686172485352,2400.0,0,1,0
2000-02-05,AI,Schwende,47.2553405761719,9.37140560150146,1950.0,0,2,0
2000-02-07,GR,Langwies,46.8376350402832,9.77883720397949,2580.0,0,2,0
2000-02-10,VS,Zermatt,46.0194549560547,7.80405521392822,3000.0,0,1,0
2000-02-10,GR,Samnaun,46.9851608276367,10.3827085494995,2420.0,0,2,1
2000-02-10,GR,Langwies,46.8329467773438,9.79895877838135,2700.0,0,1,1
2000-02-12,VS,Bagnes,46.022331237793,7.2578558921814,2450.0,0,1,0
2000-02-12,GR,Davos,46.7085113525391,9.82131290435791,2770.0,0,2,1
2000-02-13,SG,Grabs,47.1645355224609,9.3254337310791,1800.0,1,1,1
2000-02-13,BE,Grindelwald,46.6818923950195,8.10302352905273,2200.0,0,1,0
2000-02-15,GR,Davos,46.7208595275879,9.81394195556641,2520.0,0,1,0
2000-02-16,GR,Davos,46.7386093139648,9.82388687133789,2220.0,0,1,0
2000-02-20,UR,Andermatt,46.6654510498047,8.66459655761719,2280.0,0,1,0
2000-02-21,SG,Grabs,47.1640281677246,9.33992767333984,1950.0,0,1,0
2000-02-21,GR,Davos,46.8229179382324,9.87993812561035,2190.0,0,1,0
2000-02-21,GR,Davos,46.8315734863281,9.81096172332764,2615.0,3,6,4
2000-02-21,VS,Zermatt,46.0182151794434,7.79759073257446,2850.0,0,3,0
2000-02-21,UR,Andermatt,46.6153335571289,8.61423873901367,2400.0,0,1,0
2000-02-21,BE,Erlenbach im Simmental,46.6845397949219,7.54725933074951,1800.0,0,4,0
2000-02-21,VS,Bagnes,46.1192207336426,7.21420001983643,2290.0,0,1,0
2000-02-21,GR,Davos,46.8087539672852,9.93159580230713,2700.0,0,1,0
2000-02-21,GR,Parpan,46.7644348144531,9.58838367462158,2300.0,0,2,0
2000-02-22,VS,Champéry,46.160572052002,6.80429363250732,2270.0,0,1,0
2000-02-22,LU,Flühli,46.7882423400879,8.04317188262939,2180.0,0,2,0
2000-02-22,GR,Klosters-Serneus,46.8535652160645,9.81363773345947,2430.0,0,1,1
2000-02-25,GR,Avers,46.4648590087891,9.57415294647217,3140.0,0,1,0
2000-02-26,GR,Davos,46.6727523803711,9.76619434356689,2780.0,0,2,1
2000-02-26,BE,Frutigen,46.5326194763184,7.63637208938599,2190.0,1,2,1
2000-02-27,BE,Diemtigen,46.5325660705566,7.54082822799683,2300.0,0,1,0
2000-02-27,BE,Lenk,46.4806060791016,7.48812103271484,2400.0,0,1,0
2000-02-27,BE,Adelboden,46.4903831481934,7.61055946350098,2040.0,0,1,0
2000-02-27,VS,Orsières,46.0199737548828,7.20092010498047,2520.0,0,1,0
2000-03-01,GR,Klosters-Serneus,46.8138160705566,9.94703769683838,2970.0,1,1,1
2000-03-02,BE,Adelboden,46.4466361999512,7.51021385192871,2000.0,0,1,0
2000-03-03,VS,Evolène,46.1007766723633,7.46514654159546,2750.0,0,3,1
2000-03-19,GR,Vaz/Obervaz,46.7426948547363,9.59602546691895,2760.0,0,3,0
2000-03-21,,,47.102123260498,9.61656284332275,1850.0,0,2,0
2000-04-02,GR,Davos,46.6725273132324,9.76631546020508,2800.0,0,1,0
2000-04-02,BE,Kandersteg,46.4387016296387,7.61068201065063,2265.0,0,1,0
2000-04-08,GR,Langwies,46.838752746582,9.7900333404541,2600.0,0,1,0
2000-04-08,GR,Obersaxen,46.7041778564453,9.02806663513184,2610.0,0,1,1
2000-04-14,GR,Davos,46.7206916809082,9.81249523162842,2510.0,0,1,1
2000-04-14,GR,Samedan,46.5344657897949,9.82094955444336,2700.0,0,1,0
2000-04-16,UR,Spiringen,46.8687210083008,8.91295909881592,2500.0,0,5,0
2000-04-18,VS,Saas-Fee,46.0888519287109,7.93458366394043,2580.0,1,6,1
2000-04-20,GR,Davos,46.7130813598633,9.81791687011719,2730.0,0,2,0
2000-04-23,GR,Davos,46.7850151062012,9.85319519042969,2200.0,0,1,0
2000-04-23,VS,Saas-Almagell,46.015682220459,7.89983367919922,4000.0,0,1,0
2000-04-24,VS,Bourg-Saint-Pierre,45.9202613830566,7.24852609634399,2415.0,1,3,2
2000-04-29,VS,Evolène,46.0065536499023,7.43863725662231,3280.0,0,1,1
2000-04-30,AI,Schwende,47.248363494873,9.34358978271484,2300.0,0,2,0
2000-09-09,BE,Gadmen,46.6996612548828,8.39966583251953,2766.67,0,3,0
2000-09-10,VS,Naters,46.4133644104004,7.92623281478882,3800.0,2,2,0
2000-11-11,UR,Andermatt,46.603515625,8.60849952697754,2840.0,1,3,1
2000-11-12,VS,Trient,46.0061111450195,6.99023723602295,2920.0,1,2,1
2000-11-12,GR,Splügen,46.5425758361816,9.36438655853271,2390.0,0,2,1
2000-11-18,VS,Orsières,45.876636505127,7.14500379562378,2700.0,0,2,2
2000-11-19,GR,Silvaplana,46.421745300293,9.82725238800049,3100.0,0,3,0
2000-12-08,GR,Langwies,46.8220176696777,9.80293655395508,2500.0,0,1,0
2000-12-10,TI,Bedretto,46.4725914001465,8.50111198425293,2640.0,0,2,0
2000-12-17,TI,Bedretto,46.4837074279785,8.45144844055176,2080.0,0,2,0
2000-12-23,VS,Oberwald,46.5027389526367,8.44046974182129,2530.0,0,1,0
2000-12-28,TI,Ponto Valentino,46.4872283935547,8.87939262390137,2100.0,0,1,0
2000-12-28,VD,Château-d’Œx,46.3819580078125,7.1431827545166,2270.0,0,1,0
2000-12-29,GR,Medel (Lucmagn),46.6402626037598,8.90803146362305,2350.0,0,3,0
2000-12-30,GR,Valchava,46.6324195861816,10.3968524932861,2740.0,0,1,0
2001-01-01,VD,Lavey-Morcles,46.2150497436523,7.05609798431396,1890.0,0,1,0
2001-01-05,VS,Riddes,46.1089630126953,7.26274251937866,2360.0,0,1,1
2001-01-06,GR,Fideris,46.8579902648926,9.71340560913086,2240.0,0,3,0
2001-01-07,GR,Davos,46.7695198059082,9.85184478759766,2550.0,0,2,0
2001-01-09,GR,Langwies,46.8336143493652,9.79931545257568,2680.0,0,2,1
2001-01-09,VS,Bagnes,46.100154876709,7.26626253128052,2640.0,0,3,0
2001-01-09,GR,Sent,46.8425827026367,10.2755260467529,2800.0,0,1,0
2001-01-10,GR,Klosters-Serneus,46.8449325561523,9.80473136901855,2440.0,0,2,0
2001-01-13,GR,Celerina/Schlarigna,46.5307998657227,9.83271980285645,2800.0,1,1,1
2001-01-13,VS,Simplon,46.2341804504395,8.00111293792725,2080.0,0,3,0
2001-01-13,VS,Chandolin,46.2423553466797,7.6214451789856,2560.0,1,1,1
2001-01-14,BE,Adelboden,46.4301071166992,7.54141569137573,2130.0,0,2,1
2001-01-14,GR,Davos,46.722282409668,9.87655830383301,2720.0,0,1,0
2001-01-14,GR,Klosters-Serneus,46.8152694702148,9.94238567352295,2800.0,0,1,0
2001-01-14,GR,Pontresina,46.4116363525391,9.94130992889404,2500.0,0,1,0
2001-01-16,VS,Blitzingen,46.4714813232422,8.16164112091064,2990.0,1,1,1
2001-01-21,BE,Reichenbach im Kandertal,46.5191268920898,7.75542974472046,2510.0,0,1,0
2001-01-26,GR,Vaz/Obervaz,46.7615661621094,9.59730529785156,2500.0,0,1,0
2001-01-26,VS,Orsières,45.9145851135254,7.09299230575562,1910.0,0,1,1
2001-01-27,VS,Albinen,46.3668251037598,7.64005661010742,2100.0,0,1,0
2001-01-27,VS,Orsières,46.0231246948242,7.09611558914185,2120.0,0,2,0
2001-01-28,GR,Valendas,46.7564697265625,9.27121734619141,2060.0,0,2,0
