t-SNE1,t-SNE2,k_cluster
0.50336486,-0.080287494,0
0.38455895,-0.5019735,1
0.6811865,0.48439667,0
0.45951632,-0.3621394,0
-0.75080323,-0.4806096,3
0.21642362,0.30036867,2
0.39665464,0.13796568,0
-1.0041275,-0.71792865,3
-0.7478287,-0.8158574,3
-0.91410005,-0.7774473,3
-0.018970476,-0.5670935,1
0.023919238,0.41771394,2
0.0956026,-0.2317103,1
0.064477265,-0.7169582,1
-0.22852254,-0.6535962,1
-0.0055146166,-0.6629793,1
0.3935361,-0.5304627,1
0.31160456,-0.6995631,1
0.1338933,0.033416517,2
0.25971988,-0.5009153,1
0.26025128,-0.50102973,1
0.17560992,-0.6907037,1
0.115973614,-0.1878358,1
0.40352678,-0.23013507,1
0.43208772,-0.26594424,1
0.57236356,-0.5882349,1
-0.26170567,-0.7286724,1
0.33645254,-0.4538022,0
-0.87512493,-0.4373594,3
1.0299882,-0.008860947,4
1.0300437,-0.008618472,4
-0.66958016,0.40442598,2
-0.37595364,0.59640527,2
0.103369,0.15075365,2
-0.54107785,0.42199647,2
-0.17835769,0.2595589,2
0.103369,0.15075365,2
-0.9084807,0.03967444,3
-0.9215645,0.09867202,3
-1.0377313,-0.22466305,3
-0.90936947,-0.5362075,3
0.42643446,0.64779735,0
0.99949914,0.12170328,4
1.0184542,0.11438919,4
-0.03104485,0.62447137,0
0.9127049,0.23960617,0
0.03521988,0.7475169,2
1.0113816,0.1283426,4
0.99951446,0.121988945,4
-0.10856433,0.79508436,2
1.086412,-0.03595512,4
0.8567858,0.14584136,4
0.49352372,0.5407121,2
0.6582239,0.30819666,4
0.16560678,0.77051705,2
0.191634,0.73386616,2
-0.014896408,0.825906,2
-0.03745601,0.840174,2
0.047085136,0.8189786,2
-0.107092075,0.76327115,2
0.39044467,0.6953124,0
0.34113082,0.4969798,2
-0.21861592,0.25122994,2
-0.67275447,0.43825346,2
-0.06530064,-0.44442526,1
-0.7984158,0.40634668,2
-0.47302538,0.27577135,2
-0.43593433,0.765137,2
-0.43435073,0.7205886,2
-0.46686235,0.68752426,2
-0.52725863,0.6748317,2
0.5131522,0.5009075,0
0.55448407,0.50448215,0
0.0022345146,0.7605975,2
-0.53823334,0.563702,2
-0.09715052,0.75536066,2
-0.115423284,0.8418171,2
0.26784408,-0.14468348,2
-0.038319513,0.619083,2
0.18127573,0.73256826,2
-0.08389542,0.6401891,2
0.005352769,0.65397567,2
0.32519317,0.7060892,0
-0.33752704,0.23957366,2
-0.3480241,0.2941695,2
0.5838945,0.38884255,0
0.28646228,0.34889698,0
0.41631043,-0.11384264,0
-0.55232936,0.19496506,2
0.13668981,0.30552623,2
0.24156426,-0.3311791,1
0.33695823,-0.50796366,1
0.49508297,-0.46295166,1
0.5165485,-0.41907045,1
0.13987608,-0.5899213,1
-0.46388113,-0.28271592,3
-0.52595913,0.28000084,2
-0.5699765,-0.121933386,3
-0.9617688,-0.64919066,3
-0.9183165,-0.7846692,3
-0.95115525,-0.051352818,3
-0.82282025,0.1855985,3
0.00010205815,-0.6464153,1
-0.8673575,-0.18411745,3
0.8028624,0.05505934,4
1.0744637,-0.061818946,4
-0.3114482,-0.66153383,3
-0.27354446,-0.07136391,2
0.36691976,-0.464911,1
-0.41663823,-0.026448393,3
-0.9684178,-0.7567188,3
-0.96837854,-0.7567455,3
-0.885367,-0.49080688,3
-0.53283453,-0.05846714,3
-0.9522581,-0.23264255,3
0.06449994,0.5451534,2
0.6425267,0.4722366,2
0.12922117,0.8209501,2
-0.5269165,-0.040829476,3
0.65595216,0.53684443,0
0.059495922,0.4740733,0
0.9161193,0.022733644,4
0.1834116,0.1352476,2
0.18103433,0.09582786,2
0.6737334,-0.0005913482,4
-0.34439638,0.70976263,2
-0.34249502,0.5273702,2
-0.6239929,0.5485373,2
-0.54430926,0.28658676,2
-0.36894512,0.7855989,2
0.5865076,0.55817914,0
-0.48387328,0.7330082,2
-0.7123673,0.31004575,3
-0.98156387,0.037947167,3
-0.6636328,0.551782,2
-0.7027464,0.5057056,2
-1.0137234,0.01957817,3
0.8659244,-0.072974354,4
-0.25771245,-0.06645347,3
0.19853623,-0.24977084,3
0.05694924,0.77011436,2
-0.20870163,0.3732525,0
0.51361084,0.42193946,0
0.51361084,0.42193946,0
-0.5814251,-0.19219628,3
0.22226058,-0.062075272,0
-0.8903572,-0.025752736,3
-0.87218386,0.0452322,3
-0.89041686,-0.025732858,3
-0.8721928,0.045238663,3
-0.52698827,0.38721535,3
-0.7422402,-0.47195593,3
-0.925808,-0.5161711,3
-1.0623243,-0.52406746,3
-0.6894645,0.44866234,2
-0.565792,0.5317193,2
0.06423073,0.4636435,0
-0.038140148,0.7857317,2
-0.14011253,0.8234422,2
0.07726333,0.528295,2
-0.06087655,0.82084554,2
-0.0288224,0.5018747,2
0.64110553,0.42685694,0
