date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried,air_temp_mean_stations,wind_speed_mean_stations,snow_surf_temp_day_mean_stations,snow_ground_temp_day_mean_stations,wind_speed_day_max_stations
2019-01-19,GR,Lumnezia,46.6822853088379,9.20555114746094,2070.0,0,1,0,-11.34375,2.02888894081116,-17.9104175567627,1.0,6.200000047683715
2019-01-19,VD,Château-d'Oex,46.4977111816406,7.11910438537598,2170.0,1,3,3,-4.62916660308838,2.22083330154419,-12.8062496185303,-0.100000001490116,8.69999980926514
2019-01-19,VS,Vouvry,46.3558769226074,6.8208532333374,2080.0,0,1,1,-7.772916793823246,4.03020828962326,-13.2541666030884,0.497916668653488,11.9000000953674
2019-01-19,FR,Plaffeien,46.6707649230957,7.37146806716919,1960.0,0,1,0,-7.01145815849304,3.73749989271164,-14.4333333969116,0.100000001490116,8.449999809265119
2019-01-26,TI,Bedretto,46.480655670166,8.42482471466064,2280.0,0,3,0,-5.488194465637207,4.254166603088376,-10.032291889190649,0.350000001490116,13.533333142598467
2019-01-28,SO,Selzach,47.2451248168945,7.45527982711792,1240.0,0,1,0,,,,,
2019-01-29,SZ,Oberiberg,47.005126953125,8.81031131744385,1670.0,0,1,0,-10.268749554952016,2.02989864349365,-12.231249809265151,0.1572916619479654,11.333333333333334
2019-01-30,SZ,Oberiberg,47.0238189697266,8.78947639465332,1720.0,0,1,0,-9.903124809265151,3.6093749403953552,-12.4791669845581,0.200000002980232,13.7000002861023
2019-01-30,AR,Schönengrund,47.3181495666504,9.24487018585205,1200.0,0,1,0,,,,,
2019-02-02,GR,Scuol,46.827018737793,10.2497873306274,2700.0,0,3,0,-5.06041669845581,1.24374997615814,-6.25833320617676,-0.200000002980232,6.69999980926514
2019-02-02,GR,Mathon,46.6437568664551,9.393798828125,2015.0,0,3,0,,,,,
2019-02-02,BE,Diemtigen,46.5980911254883,7.48235607147217,1750.0,1,2,1,-3.7531249523162797,1.6833333373069799,-8.971875190734865,0.300000000745058,8.85000038146973
2019-02-02,GR,Tschappina,46.6838455200195,9.33791732788086,2000.0,0,1,0,,,,,
2019-02-02,GR,Vaz/Obervaz,46.7486343383789,9.58631420135498,2190.0,0,1,1,-5.91458320617676,2.49375009536743,-8.26041698455811,0.100000001490116,13.0
2019-02-02,GR,Silvaplana,46.4710159301758,9.77341556549072,2475.0,0,2,0,-6.711805502573649,1.7520833611488351,-7.481249809265139,0.100000001490116,11.949999809265135
2019-02-03,SZ,Muotathal,46.9867362976074,8.67101287841797,1000.0,0,1,0,-9.16041660308838,2.43191480636597,-9.19375038146973,0.100000001490116,6.5
2019-02-03,SG,Mosnang,47.2993240356445,9.0129280090332,1265.0,0,1,1,,,,,
2019-02-03,SZ,Oberiberg,47.0167617797852,8.76180648803711,1550.0,0,1,0,-9.05416679382324,2.269505818684897,-7.87500023841858,0.175000000745058,7.233333269755047
2019-02-03,SZ,Einsiedeln,47.1030502319336,8.85880088806152,1490.0,0,4,2,-6.99166679382324,2.24583339691162,-6.55625009536743,0.25,9.0
2019-02-04,GR,Arosa,46.8259658813477,9.79930782318115,2630.0,0,1,0,-9.128472328186033,1.1584239403406766,-18.33402824401853,-0.06666666766007733,5.300000031789144
2019-02-04,SZ,Einsiedeln,47.0805854797363,8.76621341705322,1545.0,0,2,0,-7.95833349227905,1.07916665077209,-15.0625,0.200000002980232,5.09999990463257
2019-02-04,BE,Reichenbach im Kandertal,46.6054000854492,7.73446416854858,1880.0,0,1,0,-6.95416688919067,1.71875,-16.7229175567627,-0.100000001490116,5.69999980926514
2019-02-04,FR,Haut-Intyamon,46.5043678283691,7.08910083770752,1815.0,1,1,1,-6.151041746139525,2.1291666924953456,-13.4270830154419,0.300000011920929,6.600000143051145
2019-02-05,SG,Wildhaus-Alt St. Johann,47.216625213623,9.28977012634277,1460.0,0,2,0,-4.68333339691162,1.74583327770233,,,5.0
2019-02-05,BE,Wimmis,46.643928527832,7.64435482025146,2215.0,1,1,1,,,,,
2019-02-05,VS,Isérables,46.1367034912109,7.28568649291992,2230.0,0,1,0,-4.029861132303873,1.6708333293596886,-16.97812509536745,0.5489583313465121,5.0333334604899065
