Unnamed: 0;station_code;measure_date;HS;HN_1D
5;ANV3;2024-10-14T00:00:00;4.0;0.0
5;ANV3;2024-10-15T00:00:00;5.0;0.0
5;ANV3;2024-10-16T00:00:00;4.0;0.0
5;ANV3;2024-10-17T00:00:00;4.0;0.0
5;ANV3;2024-10-18T00:00:00;5.0;0.0
5;ANV3;2024-10-19T00:00:00;6.0;8.7
5;ANV3;2024-10-20T00:00:00;2.0;0.1
5;ANV3;2024-10-21T00:00:00;5.0;0.0
5;ANV3;2024-10-22T00:00:00;6.0;0.0
5;ANV3;2024-10-23T00:00:00;5.0;0.0
5;ANV3;2024-10-24T00:00:00;4.0;0.0
5;ANV3;2024-10-25T00:00:00;4.0;0.0
5;ANV3;2024-10-26T00:00:00;7.0;0.0
5;ANV3;2024-10-27T00:00:00;4.0;0.0
5;ANV3;2024-10-28T00:00:00;4.0;0.0
5;ANV3;2024-10-29T00:00:00;4.0;0.0
5;ANV3;2024-10-30T00:00:00;3.0;0.0
5;ANV3;2024-10-31T00:00:00;4.0;0.0
5;ANV3;2024-11-01T00:00:00;5.0;0.0
5;ANV3;2024-11-02T00:00:00;18.0;0.0
5;ANV3;2024-11-03T00:00:00;8.0;0.0
139;ARO2;2024-10-05T00:00:00;-3.0;0.0
6;ARO2;2024-10-06T00:00:00;-7.0;0.0
6;ARO2;2024-10-07T00:00:00;-7.0;0.0
6;ARO2;2024-10-08T00:00:00;-10.0;0.0
6;ARO2;2024-10-09T00:00:00;-13.0;0.0
6;ARO2;2024-10-10T00:00:00;-12.0;0.0
6;ARO2;2024-10-11T00:00:00;-14.0;0.0
6;ARO2;2024-10-12T00:00:00;-8.0;0.0
6;ARO2;2024-10-13T00:00:00;-8.0;0.0
6;ARO2;2024-10-14T00:00:00;-9.0;0.0
6;ARO2;2024-10-15T00:00:00;-10.0;0.0
6;ARO2;2024-10-16T00:00:00;-10.0;0.0
6;ARO2;2024-10-17T00:00:00;-12.0;0.0
6;ARO2;2024-10-18T00:00:00;-10.0;0.0
6;ARO2;2024-10-19T00:00:00;-8.0;0.0
6;ARO2;2024-10-20T00:00:00;-8.0;0.0
6;ARO2;2024-10-21T00:00:00;-9.0;0.0
6;ARO2;2024-10-22T00:00:00;-8.0;0.0
6;ARO2;2024-10-23T00:00:00;-7.0;0.0
6;ARO2;2024-10-24T00:00:00;-8.0;0.0
6;ARO2;2024-10-25T00:00:00;-8.0;0.0
6;ARO2;2024-10-26T00:00:00;-8.0;0.0
6;ARO2;2024-10-27T00:00:00;-10.0;0.0
6;ARO2;2024-10-28T00:00:00;-9.0;0.0
6;ARO2;2024-10-29T00:00:00;-9.0;0.0
6;ARO2;2024-10-30T00:00:00;-9.0;0.0
6;ARO2;2024-10-31T00:00:00;-9.0;0.0
6;ARO2;2024-11-01T00:00:00;-9.0;0.0
6;ARO2;2024-11-02T00:00:00;-9.0;0.0
6;ARO2;2024-11-03T00:00:00;-8.0;0.0
140;ARO3;2024-10-05T00:00:00;7.0;8.0
7;ARO3;2024-10-06T00:00:00;12.0;3.7
7;ARO3;2024-10-07T00:00:00;15.0;0.0
7;ARO3;2024-10-08T00:00:00;14.0;0.0
7;ARO3;2024-10-09T00:00:00;15.0;2.0
7;ARO3;2024-10-10T00:00:00;13.0;1.3
7;ARO3;2024-10-11T00:00:00;9.0;6.5
7;ARO3;2024-10-12T00:00:00;13.0;1.3
7;ARO3;2024-10-13T00:00:00;15.0;0.0
7;ARO3;2024-10-14T00:00:00;15.0;0.0
7;ARO3;2024-10-15T00:00:00;16.0;0.0
7;ARO3;2024-10-16T00:00:00;14.0;0.0
7;ARO3;2024-10-17T00:00:00;15.0;0.0
7;ARO3;2024-10-18T00:00:00;16.0;0.0
7;ARO3;2024-10-19T00:00:00;16.0;0.0
7;ARO3;2024-10-20T00:00:00;16.0;0.0
7;ARO3;2024-10-21T00:00:00;15.0;0.0
7;ARO3;2024-10-22T00:00:00;15.0;0.0
7;ARO3;2024-10-23T00:00:00;16.0;0.0
7;ARO3;2024-10-24T00:00:00;15.0;0.0
7;ARO3;2024-10-25T00:00:00;16.0;0.0
7;ARO3;2024-10-26T00:00:00;16.0;0.0
7;ARO3;2024-10-27T00:00:00;16.0;0.0
7;ARO3;2024-10-28T00:00:00;16.0;0.0
7;ARO3;2024-10-29T00:00:00;15.0;0.0
7;ARO3;2024-10-30T00:00:00;14.0;0.0
7;ARO3;2024-10-31T00:00:00;13.0;0.0
7;ARO3;2024-11-01T00:00:00;14.0;0.0
7;ARO3;2024-11-02T00:00:00;14.0;0.0
7;ARO3;2024-11-03T00:00:00;14.0;0.0
141;ATT2;2024-10-05T00:00:00;2.0;2.3
8;ATT2;2024-10-06T00:00:00;1.0;0.4
8;ATT2;2024-10-07T00:00:00;1.0;0.0
8;ATT2;2024-10-08T00:00:00;1.0;0.0
8;ATT2;2024-10-09T00:00:00;1.0;0.0
8;ATT2;2024-10-10T00:00:00;1.0;0.2
8;ATT2;2024-10-11T00:00:00;2.0;1.7
8;ATT2;2024-10-12T00:00:00;1.0;0.0
8;ATT2;2024-10-13T00:00:00;1.0;0.0
8;ATT2;2024-10-14T00:00:00;1.0;0.0
8;ATT2;2024-10-15T00:00:00;1.0;0.0
8;ATT2;2024-10-16T00:00:00;1.0;0.0
8;ATT2;2024-10-17T00:00:00;1.0;0.0
8;ATT2;2024-10-18T00:00:00;1.0;0.0
8;ATT2;2024-10-19T00:00:00;1.0;0.4
8;ATT2;2024-10-20T00:00:00;1.0;0.0
8;ATT2;2024-10-21T00:00:00;1.0;0.0
8;ATT2;2024-10-22T00:00:00;1.0;0.0
8;ATT2;2024-10-23T00:00:00;1.0;0.0
8;ATT2;2024-10-24T00:00:00;1.0;0.0
8;ATT2;2024-10-25T00:00:00;1.0;0.0
8;ATT2;2024-10-26T00:00:00;1.0;0.0
8;ATT2;2024-10-27T00:00:00;1.0;0.0
8;ATT2;2024-10-28T00:00:00;1.0;0.0
8;ATT2;2024-10-29T00:00:00;1.0;0.0
8;ATT2;2024-10-30T00:00:00;1.0;0.0
8;ATT2;2024-10-31T00:00:00;1.0;0.0
8;ATT2;2024-11-01T00:00:00;1.0;0.0
8;ATT2;2024-11-02T00:00:00;1.0;0.0
8;ATT2;2024-11-03T00:00:00;1.0;0.0
142;BED3;2024-10-05T00:00:00;7.0;3.2
9;BED3;2024-10-06T00:00:00;6.0;1.0
9;BED3;2024-10-07T00:00:00;10.0;5.1
9;BED3;2024-10-08T00:00:00;8.0;2.6
9;BED3;2024-10-09T00:00:00;4.0;0.0
9;BED3;2024-10-10T00:00:00;7.0;0.0
9;BED3;2024-10-11T00:00:00;6.0;0.2
9;BED3;2024-10-12T00:00:00;6.0;5.8
9;BED3;2024-10-13T00:00:00;9.0;4.3
9;BED3;2024-10-14T00:00:00;7.0;7.8
9;BED3;2024-10-15T00:00:00;8.0;0.0
9;BED3;2024-10-16T00:00:00;6.0;0.0
9;BED3;2024-10-17T00:00:00;4.0;0.0
9;BED3;2024-10-18T00:00:00;5.0;0.0
9;BED3;2024-10-19T00:00:00;9.0;0.0
9;BED3;2024-10-20T00:00:00;8.0;0.0
9;BED3;2024-10-21T00:00:00;7.0;0.0
9;BED3;2024-10-22T00:00:00;9.0;0.0
9;BED3;2024-10-23T00:00:00;7.0;0.0
9;BED3;2024-10-24T00:00:00;6.0;0.0
9;BED3;2024-10-25T00:00:00;6.0;0.0
9;BED3;2024-10-26T00:00:00;10.0;0.0
9;BED3;2024-10-27T00:00:00;9.0;0.0
9;BED3;2024-10-28T00:00:00;10.0;0.0
9;BED3;2024-10-29T00:00:00;9.0;0.0
9;BED3;2024-10-30T00:00:00;8.0;0.0
9;BED3;2024-10-31T00:00:00;8.0;0.0
9;BED3;2024-11-01T00:00:00;8.0;0.0
9;BED3;2024-11-02T00:00:00;7.0;0.0
9;BED3;2024-11-03T00:00:00;7.0;0.0
143;BED4;2024-10-05T00:00:00;1.0;0.0
10;BED4;2024-10-06T00:00:00;1.0;0.7
10;BED4;2024-10-07T00:00:00;2.0;1.5
10;BED4;2024-10-08T00:00:00;1.0;0.0
10;BED4;2024-10-09T00:00:00;2.0;0.0
10;BED4;2024-10-10T00:00:00;2.0;0.0
10;BED4;2024-10-11T00:00:00;3.0;1.0
10;BED4;2024-10-12T00:00:00;2.0;1.5
10;BED4;2024-10-13T00:00:00;3.0;3.3
10;BED4;2024-10-14T00:00:00;1.0;1.6
10;BED4;2024-10-15T00:00:00;1.0;0.0
10;BED4;2024-10-16T00:00:00;1.0;0.0
10;BED4;2024-10-17T00:00:00;2.0;0.0
10;BED4;2024-10-18T00:00:00;0.0;0.0
10;BED4;2024-10-19T00:00:00;3.0;0.0
10;BED4;2024-10-20T00:00:00;1.0;0.0
10;BED4;2024-10-21T00:00:00;2.0;0.0
10;BED4;2024-10-22T00:00:00;1.0;0.0
10;BED4;2024-10-23T00:00:00;0.0;0.0
10;BED4;2024-10-24T00:00:00;-1.0;0.0
