municipality,canton,date,alpine_region,elevation_group,PCA1,PCA2,k_cluster
Andermatt,UR,2000-02-20,Central Alps,3000,4.039857591569659,0.27585234894226274,4
Davos,GR,2000-02-21,Eastern Alps,3000,2.76129579171124,-1.5091484925932668,4
Davos,GR,2000-02-21,Eastern Alps,3000,2.76129579171124,-1.5091484925932668,4
Zermatt,VS,2000-02-21,Southern Alps,3000,0.9716988506242492,-0.5927695635931595,2
Andermatt,UR,2000-02-21,Central Alps,3000,0.6884151577022171,0.4324107088888584,2
Davos,GR,2000-02-21,Eastern Alps,3000,3.4446575962580526,-1.7826850883783636,4
Flühli,LU,2000-02-22,Central Alps,3000,1.0086912324473036,-1.9172382350319015,1
Klosters-Serneus,GR,2000-02-22,Eastern Alps,3000,0.8781059159388064,-1.4451129051360885,1
Avers,GR,2000-02-25,Eastern Alps,4000,-1.1259896970081735,-0.2567041045490427,3
Davos,GR,2000-02-26,Eastern Alps,3000,-0.22527883468819493,-0.48857818602335823,2
Frutigen,BE,2000-02-26,Western Alps,3000,-0.8989546388250819,-0.8297358372980768,3
Diemtigen,BE,2000-02-27,Western Alps,3000,-1.0219861739356373,-1.182100120741418,3
Lenk,BE,2000-02-27,Western Alps,3000,-0.7956839115837356,-1.687219276138126,1
Adelboden,BE,2000-02-27,Western Alps,3000,-1.1083870225187271,-1.152460798755859,3
Klosters-Serneus,GR,2000-03-01,Eastern Alps,3000,0.2976176640580615,-1.0373626973967462,1
Adelboden,BE,2000-03-02,Western Alps,2000,2.5802604704987786,-0.227564825278872,4
Evolène,VS,2000-03-03,Southern Alps,3000,0.5061713644748166,0.5036743593942309,0
Davos,GR,2000-04-02,Eastern Alps,3000,0.29439758134715094,-0.17305876545815432,1
Kandersteg,BE,2000-04-02,Western Alps,3000,-0.21911346012514715,-0.5930459833441201,1
Langwies,GR,2000-04-08,Eastern Alps,3000,-0.19746214534013357,-1.773293181705112,1
Davos,GR,2000-04-14,Eastern Alps,3000,1.1338789846642792,-0.26306200767093624,1
Davos,GR,2000-04-20,Eastern Alps,3000,-0.06609823238590991,-2.0366875906678907,1
Davos,GR,2000-04-23,Eastern Alps,3000,-0.49460059192848854,-0.9402634279608357,1
Gadmen,BE,2000-09-09,Western Alps,3000,-3.64495930239693,-0.9443346880760011,3
Andermatt,UR,2000-11-11,Central Alps,3000,-0.8391728351130813,0.30046403311237424,2
Silvaplana,GR,2000-11-19,Eastern Alps,4000,1.0088659785201768,-1.2465991611080465,4
Langwies,GR,2000-12-08,Eastern Alps,3000,-0.9615135607339108,0.6493133726876698,3
Bedretto,TI,2000-12-10,Southern Alps,3000,0.23633526892345946,-1.7412055938471755,1
Bedretto,TI,2000-12-17,Southern Alps,3000,-0.017443088733779998,-0.6313750581739918,2
Oberwald,VS,2000-12-23,Southern Alps,3000,-0.702776665559688,-0.353485708592044,2
Ponto Valentino,TI,2000-12-28,Southern Alps,3000,0.03795571571112062,0.740714964018978,0
Château-d’Œx,VD,2000-12-28,Western Alps,3000,-1.2000176265148386,0.605245377658833,2
Medel (Lucmagn),GR,2000-12-29,Eastern Alps,3000,-0.32980829072814843,1.2458436940087496,2
Lavey-Morcles,VD,2001-01-01,Western Alps,2000,-0.4749725890086947,1.35465169351617,0
Fideris,GR,2001-01-06,Eastern Alps,3000,-1.0527092274105458,0.5790871272119168,3
Davos,GR,2001-01-07,Eastern Alps,3000,-0.31482243012964983,0.8491182173554717,0
Langwies,GR,2001-01-09,Eastern Alps,3000,0.9615406195370487,0.002236296339078782,4
Klosters-Serneus,GR,2001-01-10,Eastern Alps,3000,-0.17627820977154918,-0.07053402342980894,2
Celerina/Schlarigna,GR,2001-01-13,Eastern Alps,3000,-0.06638655797680339,-1.0770523018704736,1
Simplon,VS,2001-01-13,Southern Alps,3000,-0.020283347679983896,-0.9794657290134504,1
Chandolin,VS,2001-01-13,Southern Alps,3000,-0.9243344248666756,-0.6774755437829931,2
Adelboden,BE,2001-01-14,Western Alps,3000,0.32832796952986765,0.2964626891674072,0
Davos,GR,2001-01-14,Eastern Alps,3000,0.002672374542506586,0.9507214345286443,0
Klosters-Serneus,GR,2001-01-14,Eastern Alps,3000,-0.8319540966322697,0.06264138383313696,3
Pontresina,GR,2001-01-14,Eastern Alps,3000,0.26901489663644046,-0.9022659367542241,1
Blitzingen,VS,2001-01-16,Southern Alps,3000,-0.5418503912642166,0.21632643141763483,2
Reichenbach im Kandertal,BE,2001-01-21,Western Alps,3000,-0.871308100571143,0.358062133428492,2
Albinen,VS,2001-01-27,Southern Alps,3000,0.7803599871922436,1.1018530470874888,0
Gsteig,BE,2001-01-28,Western Alps,2000,0.22563509918257446,-0.28866845702769217,2
Andermatt,UR,2001-01-31,Central Alps,3000,0.021315037239959325,0.5264963734815192,2
Samedan,GR,2001-02-03,Eastern Alps,3000,0.4775486963103756,-0.01612151452538887,1
Ayer,VS,2001-02-03,Southern Alps,3000,-0.241811327650847,1.517359931864584,0
Ayer,VS,2001-02-03,Southern Alps,3000,-0.241811327650847,1.517359931864584,0
Bosco Gurin,TI,2001-02-03,Southern Alps,3000,0.14537537407923412,0.6255867390753003,0
Silvaplana,GR,2001-02-03,Eastern Alps,3000,0.3523144476353012,-0.6952723347912316,1
Zermatt,VS,2001-02-04,Southern Alps,3000,2.305640196895929,-0.1344797697367523,4
Samnaun,GR,2001-02-04,Eastern Alps,3000,0.8140911660846066,0.7979349479770442,0
Fully,VS,2001-02-04,Southern Alps,3000,1.4452743848637593,-0.011861244769000615,4
Giswil,OW,2001-02-04,Central Alps,3000,-0.1112911455739402,0.5812336990762511,0
Zermatt,VS,2001-02-04,Southern Alps,3000,2.305640196895929,-0.1344797697367523,4
Wolfenschiessen,NW,2001-02-04,Central Alps,3000,0.25520853358148926,-0.9553985954733797,4
Leukerbad,VS,2001-02-04,Southern Alps,3000,1.3426935906321316,0.11729225834419714,4
Davos,GR,2001-02-04,Eastern Alps,3000,-0.38638923531244207,-0.5670932623402246,3
Disentis/Mustér,GR,2001-02-05,Eastern Alps,3000,1.4179305812684655,0.8541120263010752,4
Lauterbrunnen,BE,2001-02-05,Western Alps,3000,3.715767829867122,1.1936115520901263,4
Trient,VS,2001-02-06,Southern Alps,3000,1.9551675112651568,-0.028859793245892173,4
Lenk,BE,2001-02-08,Western Alps,3000,0.24394640939994588,1.9611135882614217,0
Celerina/Schlarigna,GR,2001-02-10,Eastern Alps,3000,1.44641027054048,-1.3756942588654983,1
Visperterminen,VS,2001-02-10,Southern Alps,3000,-1.3007887690040678,-0.1256494426154058,2
Bedretto,TI,2001-02-11,Southern Alps,3000,-0.7157054235561132,-0.9628821519365273,3
Saas-Fee,VS,2001-02-13,Southern Alps,3000,-0.7787686961842246,1.4870552937099393,0
Davos,GR,2001-02-15,Eastern Alps,3000,-0.9761032969560678,-0.8585223005218282,3
Mühlebach,VS,2001-02-23,Southern Alps,3000,0.1984110566240042,0.5446609136683496,0
Molinis,GR,2001-02-25,Eastern Alps,3000,1.8080562190081713,-0.7405600244380682,4
Simplon,VS,2001-02-25,Southern Alps,3000,1.200128532936201,0.8664300247498554,2
Klosters-Serneus,GR,2001-02-25,Eastern Alps,3000,1.2366601202642045,-0.6512321840033228,2
Kandersteg,BE,2001-02-28,Western Alps,3000,0.14978272438685575,0.600955814143732,2
Val d’Illiez,VS,2001-03-04,Southern Alps,3000,0.19480363289730382,1.5927566524374914,0
Celerina/Schlarigna,GR,2001-03-05,Eastern Alps,3000,0.46670162202434823,-0.7027993989303548,1
Simplon,VS,2001-03-13,Southern Alps,3000,1.5558651758933426,1.6039097424471516,0
Langwies,GR,2001-03-14,Eastern Alps,3000,0.8705837248454865,-0.6472631903086481,4
Poschiavo,GR,2001-03-20,Eastern Alps,3000,1.1873661588339386,-2.034928338050688,1
Poschiavo,GR,2001-03-20,Eastern Alps,3000,0.28305465383358924,-1.2952658538120085,1
Prato,TI,2001-03-21,Southern Alps,3000,0.4494027239600136,-2.0123178146888874,1
Andermatt,UR,2001-03-24,Central Alps,2000,-0.6753104070168128,-0.08146464218885253,3
Medel (Lucmagn),GR,2001-03-29,Eastern Alps,3000,-0.25359268872131235,1.928788723718835,0
Bedretto,TI,2001-04-22,Southern Alps,3000,0.34259963488541956,-0.22305801003816284,1
Celerina/Schlarigna,GR,2001-04-22,Eastern Alps,3000,1.5221255717019297,-0.37649696816685974,1
Hérémence,VS,2001-04-27,Southern Alps,3000,0.38244502627087407,-1.5828025694347796,1
Pontresina,GR,2001-05-19,Eastern Alps,4000,-0.5743918075660944,-1.3684927380369936,1
Adelboden,BE,2001-12-15,Western Alps,3000,-0.5680644798701163,0.5660972382289882,2
Davos,GR,2001-12-24,Eastern Alps,3000,-0.0416860276613816,0.23013496247094062,2
Binn,VS,2001-12-27,Southern Alps,3000,0.31597559781584084,2.709853217086234,0
Langwies,GR,2001-12-27,Eastern Alps,3000,1.2958899389736676,1.8271408511823053,0
Klosters-Serneus,GR,2001-12-28,Eastern Alps,3000,-0.7005443328244559,0.2917849231725571,2
Val d'Illiez,VS,2001-12-29,Southern Alps,2000,-0.6373519776223732,2.169382246741291,0
Hasliberg,BE,2001-12-30,Western Alps,2000,2.106563286238982,1.1142760069767774,4
Engelberg,OW,2001-12-30,Central Alps,3000,2.745696424256912,0.7419937341957223,4
Langwies,GR,2001-12-30,Eastern Alps,3000,0.5026576408666942,1.262537191807709,2
Hasliberg,BE,2001-12-30,Western Alps,2000,2.106563286238982,1.1142760069767774,4
Klosters-Serneus,GR,2001-12-31,Eastern Alps,3000,0.9114391968413343,0.8564672919577736,2
Bex,VD,2001-12-31,Western Alps,3000,1.776218838237692,0.9096653609168632,4
Zuoz,GR,2002-01-01,Eastern Alps,3000,0.024842266825657724,1.3689345831526163,2
Davos,GR,2002-01-01,Eastern Alps,3000,-0.1307399344755681,0.7887568718222997,2
Davos,GR,2002-01-02,Eastern Alps,3000,-0.7673643498051291,0.5276653895310622,2
Göschenen,UR,2002-01-02,Central Alps,3000,-0.8791462838666949,0.6432783181557961,2
Davos,GR,2002-01-02,Eastern Alps,3000,-0.7275597505016991,0.22408868188287923,2
Diemtigen,BE,2002-01-02,Western Alps,3000,-1.5921293763525317,-0.49895124448621214,3
Klosters-Serneus,GR,2002-01-03,Eastern Alps,3000,-0.9530524776574459,-0.26533758891037273,2
Klosters-Serneus,GR,2002-01-03,Eastern Alps,3000,-1.0270278224739242,-0.0551950844301917,2
Vals,GR,2002-01-04,Eastern Alps,3000,-1.4595744269511994,0.6743646836078965,2
Davos,GR,2002-01-04,Eastern Alps,3000,-1.109451605860262,-0.08807854032055411,2
Arosa,GR,2002-01-12,Eastern Alps,3000,-1.06384314679219,-0.15797996829641894,2
Davos,GR,2002-01-13,Eastern Alps,3000,-0.9364768286351756,0.340428014668401,2
Gsteig,BE,2002-01-13,Western Alps,3000,-1.4077525056503184,-0.45354708409427613,3
Reichenbach im Kandertal,BE,2002-01-13,Western Alps,3000,-0.5687458937549855,-1.0722373997500783,3
Tavetsch/Tujetsch,GR,2002-01-20,Eastern Alps,3000,-0.5316577656388396,2.5342120908783308,0
Tavetsch/Tujetsch,GR,2002-01-23,Eastern Alps,3000,-1.062851849487973,1.3911841110969374,2
Kandersteg,BE,2002-01-27,Western Alps,3000,-0.42032817921856463,1.8493244687752997,0
Gurtnellen,UR,2002-01-30,Central Alps,3000,-1.7894228996577872,0.1436903613350837,3
St. Antönien,GR,2002-02-05,Eastern Alps,3000,-1.5976196137009238,-0.48826058201528877,3
Andermatt,UR,2002-02-08,Central Alps,3000,-0.7189403741427977,0.69648374268161,3
Lauterbrunnen,BE,2002-02-13,Western Alps,3000,-0.94235555607753,-0.1640224341627416,3
Château-d’Œx,VD,2002-02-21,Western Alps,2000,1.3542522329818079,0.5546867816294829,4
Wolfenschiessen,NW,2002-02-22,Central Alps,3000,1.7817945676338014,-0.9733726399842472,4
Salvan,VS,2002-02-23,Southern Alps,3000,1.4363191544590534,1.1585438251063425,0
Evolène,VS,2002-02-25,Southern Alps,3000,1.012929008155039,0.365166358366571,4
Samedan,GR,2002-03-01,Eastern Alps,3000,-0.5879185361533353,1.1379180035011858,0
Gsteig,BE,2002-03-05,Western Alps,2000,-0.531724995772721,-1.3114931875252869,1
Château-d’Œx,VD,2002-03-06,Western Alps,3000,-0.35660388007891214,-0.44994274084128993,1
Silvaplana,GR,2002-03-09,Eastern Alps,3000,-1.788482126636682,-0.23632747418874359,3
Oberwald,VS,2002-03-20,Southern Alps,3000,1.0548651620298921,-0.4337727083826905,4
Spiringen,UR,2002-03-29,Central Alps,3000,-0.4239316766257893,-1.6955031680623507,1
Fieschertal,VS,2002-04-09,Southern Alps,4000,-1.4060625422563335,0.006997228696090836,3
Kandersteg,BE,2002-04-21,Western Alps,4000,-0.48023679326517116,-0.8673798005406425,3
Wassen,UR,2002-04-21,Central Alps,3000,0.36385669155264416,-2.0671951974347156,1
